id,bug_id,summary,description,report_time,report_timestamp,status,commit,commit_timestamp,files
0,10303,TensorflowDebugger does not dump Stack/Pack/Concat nodes,system information written custom code opposed using stock example script provided tensorflow yes os platform distribution e g linux ubuntu linux ubuntu tensorflow installed source binary binary tensorflow version use command bazel version compiling source cuda cudnn version gpu model memory titan x pascal exact command reproduce import sys import tensorflow tf tensorflow python import debug tf debug base tf one dtype tf float32 name base stacked tf stack base base name stacked concat tf concat base base axis name concat session tf session session tf debug localclidebugwrappersession session session default re session run stacked concat print re describe problem using tensorflowdebugger stacked concated stacked concated node appear set dumped node run completed addition node fed node dumped,2017-05-30 21:37:53,1496180273,resolved fixed,6f36e6b27106fb4de065db18b9333a3c6c2fbb89,1497370310,tensorflow\docs_src\programmers_guide\debugger.md                                                            
1,10428,TensorBoard graph key does not match documentation,key tensorboard ui indicates reference edge single headed arrow documentation show double headed arrow moreover appears edge indicated reference edge ui according key fact edge example neither c tf constant name const share v tf variable name var share tf add c v name opvs1 tf add v c name opvs2 note tf add name opa include reference edge case key ui say,2017-06-04 12:59:01,1496581141,resolved fixed,65ce8c723da2da639af0f1dd237d50d2680a4cd9,1496786608,tensorflow\tensorboard\components\tf_graph\tf-graph-scene.html tensorflow\tensorboard\components\tf_graph_common\edge.ts tensorflow\tensorboard\components\tf_graph_common\scene.ts tensorflow\tensorboard\components\tf_graph_controls\tf-graph-controls.html                                                      
2,10519,tf.contrib.data: tf-slim training pipeline gets stuck,system information written custom code opposed using stock example script provided tensorflow yes os platform distribution e g linux ubuntu linux leto28 amd64 smp debian deb8u2 x86 gnu linux version id version jessie tensorflow installed source binary binary tensorflow version use command tf version rc2 tf git version v1 rc1 gce1d6ec tf compiler version v1 rc1 gce1d6ec bazel version compiling source none cuda cudnn version gpu model memory titan x pascal exact command reproduce python mwe py describe problem recently ported dataset handling new dataset api seems training pipeline stall request cpus job used work fine dataset api provided work grab cpus tried come mwe see interesting thing getting stuck remove one line suspect issue related source code log import o import tensorflow tf import tensorflow contrib data tcd import tensorflow contrib slim slim tensorflow contrib data python ops dataset ops import get file name dataset dir path dataset file pattern shape tfrecord image shape def parse function example proto feature image encoded tf fixedlenfeature tf string default value image annotation color tf fixedlenfeature tf int64 default value image annotation shape tf fixedlenfeature tf int64 default value parsed feature tf parse single example example proto feature image decoded tf image decode image parsed feature image encoded color parsed feature image annotation color shape parsed feature image annotation shape return image decoded color shape def get batch batch size group size split name train file pattern o path join dataset dir file pattern format split name file name get file name file pattern randomize input true dataset tcd tfrecorddataset file name dataset dataset map parse function dataset dataset map lambda image color shape image dataset dataset shuffle buffer size dataset dataset repeat batch group size batch size iterator dataset make one shot iterator image iterator get next image tf split image group size axis image tf reshape x batch size image shape x image return image name main tf graph default x x x get batch batch size group size val tf reduce sum tf add n x x x val tf print val tf constant alive global step slim get create global step tf control dependency val update global step op tf assign add global step train op update global step op tf summary scalar summary val tf summary scalar summary train op logdir mwe logdir slim learning train train op train op logdir logdir number step,2017-06-08 03:26:09,1496892369,resolved fixed,f5fcd1fdcf896f46aed03c7e61525b48b75d1acc,1497474571,tensorflow\contrib\data\python\kernel_tests\iterator_ops_test.py tensorflow\core\kernels\iterator_ops.cc                                                          
3,10641,bug: BeamSearchDecoder should not assume that  when time &gt; 0 beam will be full,score flat control flow ops cond time lambda array ops reshape score batch size lambda score num available beam control flow ops cond time lambda math ops reduce prod score shape lambda math ops reduce prod score shape pick next beam according specified successor function next beam size math ops minimum ops convert tensor beam width dtype dtypes int32 name beam width num available beam next beam score word index nn ops top k score flat k next beam size next beam score set shape static batch size beam width word index set shape static batch size beam width code start correct wrong think code assuming time beam full true vocabulary big case machine translation vocabulary small beam might full time might pose problem value next beam size code seems must beam width raise error since next beam score set shape static batch size beam width make next beam size math ops minimum useless trying write pointer network beamsearch decoder modifying source file vocabulary usually small possibility time beam fully filled appreciate finally one wrote general beamseach decoder make life easier,2017-06-12 02:16:00,1497233760,resolved fixed,be1b702ff357e851eb4a7237728d80fe08220816,1516485976,tensorflow\contrib\seq2seq\python\kernel_tests\beam_search_decoder_test.py tensorflow\contrib\seq2seq\python\ops\beam_search_decoder.py                                                          
4,10729,tf.nn.max_pool wrong docs?,system information applicable describe problem api state ksize length size window dimension input tensor however value tensor mean ksize length stride digging maxpooling op cc show check line op requires context ksize size error invalidargument sliding window ksize field must specify dimension,2017-06-15 10:33:01,1497522781,resolved fixed,d4a21196ac06e49f2581e27af62efc4efd5387c4,1501794300,tensorflow\python\ops\nn_ops.py                                                            
5,10741,[go] bug in Shape.size for dim == NumDimensions,system information matter describe problem go dim equal numdimensions function return instead panic source code log shape go method func shape size dim int int64 dim numdimensions return func shape size dim int int64 dim numdimensions return,2017-06-15 20:21:34,1497558094,resolved fixed,76a0a15cb90c370e41766d124a7a11b28c18089a,1497637289,tensorflow\go\shape.go                                                            
6,11016,map_func of tf.contrib.data.Dataset.map gets dict keys instead of values when the nested structure of Dataset is dict,system information written custom code opposed using stock example script provided tensorflow os platform distribution e g linux ubuntu linux ubuntu tensorflow installed source binary source tensorflow version use command b g1111e06d9 rc2 bazel version compiling source cuda cudnn version gpu model memory describe problem nested structure call map func nested args pas key instead component dataset seems need passed could transform element dataset source code log import tensorflow tf def foo args kwargs print args kwargs b return tf contrib data dataset tensor b map foo,2017-06-23 17:16:38,1498238198,resolved fixed,9b11f458196f6f0528c9974238497a6c8b6da547,1498760112,tensorflow\contrib\data\python\kernel_tests\bucketing_test.py tensorflow\contrib\data\python\kernel_tests\filter_dataset_op_test.py tensorflow\contrib\data\python\kernel_tests\flat_map_dataset_op_test.py tensorflow\contrib\data\python\kernel_tests\map_dataset_op_test.py tensorflow\contrib\data\python\ops\dataset_ops.py tensorflow\contrib\data\python\util\nest.py tensorflow\contrib\data\python\util\nest_test.py                                                
7,11017,Tfdbg does not work with Coordinator/QueueRunners,system information written custom code opposed using stock example script provided tensorflow os platform distribution e g linux ubuntu linux mint tensorflow installed source binary binary pip tensorflow version use command v1 rc2 g12f033d bazel version compiling source n cuda cudnn version n gpu model memory n exact command reproduce n describe problem tensorflow debugger seem working queues data never seems fetched queuerunner thread file using tf tfrecordreader tf parse single example preloaded using tf train slice input producer instead coordinator stop true right away case wrapping session tf python debug localclidebugwrappersession example make thing clearer moreover another error occurs coordinator join thread aware faq entry threads explain data fetching thread would working source code log make easiest replicate simply took example working preloaded data wrapped session debugger uploaded gist two line added reproduce run file drop debugger run exit full output extracting tmp data train image idx3 ubyte gz extracting tmp data train label idx1 ubyte gz extracting tmp data t10k image idx3 ubyte gz extracting tmp data t10k label idx1 ubyte gz traceback recent call last file ex py line tf app run main main argv sys argv unparsed file home ruben anaconda3 lib python3 site package tensorflow python platform app py line run sys exit main sys argv flag passthrough file ex py line main run training file ex py line run training coord join thread file home ruben anaconda3 lib python3 site package tensorflow python training coordinator py line join six reraise self exc info raise file home ruben anaconda3 lib python3 site package six py line reraise raise value file home ruben anaconda3 lib python3 site package tensorflow python training queue runner impl py line run enqueue callable sess make callable enqueue op attributeerror localclidebugwrappersession object attribute make callable stacktrace coord join thread possible coord stop never seems false would indicate data load without added debugger line example simply work,2017-06-23 17:18:55,1498238335,resolved fixed,41bc76d28b8b301c546cc5624abd37fd8b97b64c,1499304123,tensorflow\python\client\session.py tensorflow\python\client\session_test.py tensorflow\python\debug\cli\cli_shared.py tensorflow\python\debug\wrappers\framework.py tensorflow\python\debug\wrappers\framework_test.py tensorflow\python\debug\wrappers\local_cli_wrapper.py tensorflow\python\debug\wrappers\local_cli_wrapper_test.py tensorflow\tools\api\golden\tensorflow.-interactive-session.pbtxt tensorflow\tools\api\golden\tensorflow.-session.pbtxt                                            
8,11091,tf.nn.elu: incorrect second derivative,system information written custom code opposed using stock example script provided tensorflow yes os platform distribution e g linux ubuntu linux ubuntu tensorflow installed source binary binary tensorflow version use command bazel version compiling source n cuda cudnn version cuda cudnn gpu model memory gtx ti exact command reproduce see tf nn elu give incorrect second derivative consider graph elu x x tf placeholder tf float32 tf nn elu x evaluating x x evaluate first derivative automatic differentiation dy tf gradient x dy eval x x line analytic answer x however second derivative ddy tf gradient dy x ddy eval x x whoops look right analytically derivative x evaluated x workaround case anyone else need work around fixed def elu x return tf x x tf exp x looks like second derivative work,2017-06-27 20:57:44,1498597064,resolved fixed,e121535a7d04cfc7c7dbb09d8694c01eb29da26f,1499716354,tensorflow\python\kernel_tests\relu_op_test.py tensorflow\python\ops\nn_grad.py                                                          
9,11132,Go: SIGABRT when executing the same node more than once,problem go pas node fetch list sigabrt raised source code log package poc test import fmt tf github com tensorflow tensorflow tensorflow go github com tensorflow tensorflow tensorflow go op testing func testfunc testing create root scope root op newscope define graph create constant matrix op const root subscope int32 create constant column vector b op const root subscope b int32 create matmul operation mul op matmul root subscope matmul b finalize graph graph root finalize create session var sess tf session sess tf newsession graph tf sessionoptions run var result tf tensor var err error result err sess run nil tf output mul mul nil err nil errorf err error fmt println result value output go test poc test go tensorflow stream executor cuda cuda gpu executor cc successful numa node read sysfs negative value must least one numa node returning numa node zero tensorflow core common runtime gpu gpu device cc found device property name geforce gtx ti major minor memoryclockrate ghz pcibusid total memory free memory w tensorflow stream executor cuda cuda driver cc non primary context exists initializing streamexecutor verified streamexecutor work tensorflow stream executor cuda cuda gpu executor cc successful numa node read sysfs negative value must least one numa node returning numa node zero tensorflow core common runtime gpu gpu device cc found device property name geforce gtx major minor memoryclockrate ghz pcibusid total memory free memory tensorflow core common runtime gpu gpu device cc peer access supported device ordinal tensorflow core common runtime gpu gpu device cc peer access supported device ordinal tensorflow core common runtime gpu gpu device cc dma tensorflow core common runtime gpu gpu device cc n tensorflow core common runtime gpu gpu device cc n tensorflow core common runtime gpu gpu device cc creating tensorflow device gpu device name geforce gtx ti pci bus id tensorflow core common runtime gpu gpu device cc creating tensorflow device gpu device name geforce gtx pci bus id f tensorflow c c api cc check failed nelems v sigabrt abort pc sigcode signal arrived cgo execution goroutine syscall locked thread runtime cgocall usr lib go src runtime cgocall go fp sp github com tensorflow tensorflow tensorflow go cfunc tf sessionrun github com tensorflow tensorflow tensorflow go obj cgo gotypes go fp sp github com tensorflow tensorflow tensorflow go session run func1 home pgaleone project go src github com tensorflow tensorflow tensorflow go session go fp sp github com tensorflow tensorflow tensorflow go session run home pgaleone project go src github com tensorflow tensorflow tensorflow go session go fp sp command line argument test testfunc home pgaleone project go src github com galeone asd poc test go fp sp testing trunner usr lib go src testing testing go fp sp runtime goexit usr lib go src runtime asm amd64 fp sp created testing run usr lib go src testing testing go goroutine chan receive testing run usr lib go src testing testing go testing runtests func1 usr lib go src testing testing go testing trunner usr lib go src testing testing go testing runtests usr lib go src testing testing go testing run usr lib go src testing testing go main main command line argument test testmain go goroutine syscall locked thread runtime goexit usr lib go src runtime asm amd64 rax rbx rcx rdx rdi rsi rbp rsp r8 r9 r10 r11 r12 r13 r14 r15 rip rflags c f g fail command line argument logic python work without issue import tensorflow tf tf constant b tf constant mul tf matmul b tf session sess print sess run mul mul output array dtype int32 array dtype int32 expected system information written custom code opposed using stock example script provided tensorflow yes os platform distribution e g linux ubuntu archlinux tensorflow installed source binary source tensorflow version use command bazel version compiling source cuda cudnn version cuda cudnn gpu model memory geforce gtx exact command reproduce go test,2017-06-29 08:49:31,1498726171,resolved fixed,66604b0355b32961f9a532792be2e008cc22221f,1499315740,tensorflow\core\common_runtime\direct_session.cc tensorflow\core\common_runtime\direct_session_test.cc tensorflow\core\distributed_runtime\rpc\grpc_session.cc tensorflow\core\distributed_runtime\rpc\grpc_session_test.cc                                                      
