report_id,file,rVSM_similarity,collab_filter,classname_similarity,bug_recency,bug_frequency,match
4,tensorflow\python\ops\nn_ops.py,0.20640538064449274,0.0,0.14952785043679245,0,0,1
7,tensorflow\python\client\session.py,0.09815782658353055,0.08859325467513007,0.0,0.06666666666666667,1,1
7,tensorflow\python\client\session_test.py,0.04390389134283031,0.08859325467513007,0.0,0.06666666666666667,1,1
7,tensorflow\python\debug\cli\cli_shared.py,0.10062031063604825,0.0,0.0,0,0,1
7,tensorflow\python\debug\wrappers\framework.py,0.11817989715980544,0.0,0.0,0,0,1
7,tensorflow\python\debug\wrappers\framework_test.py,0.0405531628549943,0.0,0.0,0,0,1
7,tensorflow\python\debug\wrappers\local_cli_wrapper.py,0.12043124462255343,0.0,0.0,0,0,1
7,tensorflow\python\debug\wrappers\local_cli_wrapper_test.py,0.10435490426327569,0.0,0.0,0,0,1
8,tensorflow\python\ops\nn_grad.py,0.12563220077819345,0.0,0.0,0,0,1
10,configure.py,0.10375791002747832,0.0,0.0,0,0,1
11,tensorflow\python\ops\math_ops.py,0.09386650763806967,0.0,0.0,0,0,1
11,tensorflow\python\ops\math_ops_test.py,0.021671030262130735,0.0,0.0,0,0,1
13,tensorflow\python\util\tf_decorator.py,0.08847579794510547,0.0,0.0,0,0,1
15,tensorflow\python\ops\rnn.py,0.16163326927715635,0.0,0.0,0,0,1
18,tensorflow\python\estimator\util.py,0.053932681132080364,0.0,0.0,0,0,1
18,tensorflow\python\util\tf_inspect.py,0.12042501162521423,0.0,0.0,0,0,1
19,tensorflow\python\ops\array_ops.py,0.2957016970748204,0.13025777450716833,0.0,0.2,1,1
24,tensorflow\python\client\session.py,0.12032724344941455,0.18431738491520505,0.0,0.25,2,1
24,tensorflow\python\client\session_test.py,0.11591885403402973,0.18431738491520505,0.0,0.25,2,1
25,tensorflow\python\data\ops\dataset_ops.py,0.19942652588390067,0.0,0.006099846471371803,0,0,1
25,tensorflow\python\ops\script_ops.py,0.15282662437766567,0.0,0.0,0,0,1
26,tensorflow\python\ops\image_ops_test.py,0.02980273793227123,0.0,0.0,0,0,1
27,tensorflow\python\platform\self_check.py,0.3001103848776872,0.0,0.0,0,0,1
30,tensorflow\python\ops\nn_ops.py,0.06582831778377247,0.05519779288412595,0.0,0.2,1,1
32,tensorflow\python\framework\ops.py,0.0764637017218905,0.22179224841963618,0.0,0.1111111111111111,2,1
32,tensorflow\python\framework\tensor_util.py,0.10564148289003147,0.0,0.0,0,0,1
33,tensorflow\python\ops\math_ops.py,0.1776553774824564,0.41552307399324195,0.0,0.25,1,1
37,tensorflow\python\framework\ops.py,0.14947707379532385,0.050257928192892716,0.00797785314107526,0.5,3,1
37,tensorflow\python\framework\ops_test.py,0.04878430745325629,0.0,0.0,0,0,1
41,tensorflow\python\training\server_lib.py,0.04229891964974003,0.0,0.0,0,0,1
41,tensorflow\python\training\server_lib_test.py,0.04631863522287129,0.2747500653088452,0.0,0.125,1,1
43,tensorflow\python\tools\optimize_for_inference_lib.py,0.11811316148917189,0.0,0.0,0,0,1
43,tensorflow\python\tools\optimize_for_inference_test.py,0.028132429887326598,0.0,0.0,0,0,1
46,tensorflow\python\tools\saved_model_cli.py,0.12855098992400132,0.0,0.0,0,0,1
