BR_id,BRsummary,BRdescription,commit_id,file_new_name
1181,Additional dataloader created and discarded when training with reload_dataloaders_every_epoch,  🐛 bug    i am training with reload dataloaders every epoch and i ve noticed it instantiates an extra dataloader before training for which nothing is run  this is an issue for me as i am training with chunks that get loaded every epoch and it is messing with the order i load them in especially if i reload a checkpoint  it would be an issue for people that generate a new dataset every epoch as they waste computation  the tqdm bar also keeps the information of the first  discarded dataloader        to reproduce    run the code sample below  which runs for one epoch and displays a message every time a dataloader is created   a dataloader gets instantiated a first time line   in training loop py outside of the epoch loop  that s the usual time it gets instantiated when not reloading every epoch  then when using reload dataloaders every epoch another one is created at the start of every epoch line    inside the loop  so for the first epoch there s an extra one   code sample    import torch,04935ea7184a50d535af96dd85a58fdc43a659b8,CHANGELOG.md
1201,Early stopping not working on 0.7.1,  🐛 bug    early stopping does not work anymore  when i downgrade from       or the current dev version to       early stopping works again  with the same code   code sample    def main        if hparams early stopping     yes            early stopping   earlystopping               monitor  batch mean absolute loss                min delta hparams min delta               patience hparams patience               mode  min                  else           early stopping   false        model   memorytest       trainer   pl trainer           val percent check             early stop callback early stopping           default save path src settings log dir           max epochs hparams epochs               trainer fit       class memorytest          main testing unit for experiments on recurrent cells      def   init              super    init             self predict col   hp predict col          self n datasamples   hp n datasamples          self dataset   hp dataset          if self dataset i,1aba411da96ed95419d13ec1f86a0d38a232f73e,CHANGELOG.md
1213,Testing in dp mode uses only one of the GPUs,  🐛 bug    to reproduce    steps to reproduce the behavior   run a test without training      code sample    modified from the conference seed repo  trainer   trainer               gpus                    distributed backend  dp               trainer test   expected behavior    environment      pl version         pytorch version         os    ubuntu  how you installed pytorch    pip  build command you used     python version       cuda cudnn version       gpu models and configuration   any other relevant information     additional context     ,c869dd8b8f6301f3726df84535a3da4e9acf04ec,CHANGELOG.md
122,Fix appveyor build,  windows support is not a priority  if the badge can be fixed today we ll keep appveyor  otherwise we ll drop it from the project    borda     ,6f1d2c45fe72d7a8a637290c2e78973deb1637e0,appveyor.yml
1223,gan.py multi-gpu running problems,  running gan py   example with trainer  causes two types of error     if trainer     exception has occurred  attributeerror   nonetype  object has no attribute  detach     file   home user gan py   line    in training step      self discriminator    fake         if trainer       in   lightling logs one run creates two folders    and    exception caused   file   opt   envs ctln gan lib     site packages pytorch lightning callbacks model checkpoint py   line    in  del model  os remove   filenotfounderror   errno    no such file or directory    home user pyproj dcgan lightning logs   checkpoints epoch   ckpt     it seems that each subprocess tries to create its own checkpoints and delete not ctrated one   environment version     python        pytorch        pytorch lightning         ,55fdfe384537e4d43e7397306ba001ffc3474322,pl_examples\domain_templates\generative_adversarial_net.py
1236,AdvancedProfiler error,  hi  as others have pointed out  the profiler doesn t seem to work    and trying out the advancedprofiler as in   lightning readthedocs io en latest profiler html   like   from pytorch lightning profiler import advancedprofiler      profiler   advancedprofiler       trainer   trainer       gives me the following error   validation sanity check              s              traceback       file   users sdumitre work style training py   line    in       main     file   users sdumitre work style training py   line    in main      trainer fit     file   users sdumitre virtual   lib     site packages pytorch lightning trainer trainer py   line    in fit      self run pretrain routine     file   users sdumitre virtual   lib     site packages pytorch lightning trainer trainer py   line    in run pretrain routine               callback metrics      self process output     file   users sdumitre virtual   lib     site packages pytorch lightning trainer logging py   line    in process output      ,54507f417eaf3317a798b3303c398152a4e35a18,pytorch_lightning\__init__.py
1262,incorrect run on the test set with overwritten validation_end and test_epoch_end,  🐛 bug    if i override validation end and test epoch end  trainerevaluationloopmixin evaluate works incorrectly on the test set  suppose we override  and   but not  and      suppose i run   consider lines     in evaluation loop py    then we have   so the first  block is executed  that is   but look at the second  and its   we have   hence the  of the second  will also be executed  that is   and we will have validation results recorder as test results  which is a mistake   this problem is present in the commit      and the inverse problem  which happens if we override only  and  is present in          ,ebd9fc9530242e1c9b5f3093dc62ceb4185735b0,CHANGELOG.md
1264,Multiple undesired checkpoints created during single epoch,  🐛 bug    thanks for the great project  when i sent custom modelcheckpoint to trainer and hoping to get one checkpoint each epoch  the trainer eventually produced a lot of versioned checkpoints within a single epoch  wasting lots of disk space and were causing confusion  an example is shown as below   checkpoints   └── gan      ├──   ckpt      ├──   ckpt      ├──   ckpt      ├──   ckpt      ├──   ckpt      ├──   ckpt      ├──   ckpt      ├──   ckpt      ├──   ckpt      ├──   ckpt      ├──   ckpt      ├──   ckpt      ├──   ckpt      ├──   ckpt      ├──   ckpt      the minimal code i used for training     checkpoint callback   modelcheckpoint           filepath os path join                gan                experiment name                      save top k              period                     trainer   trainer           checkpoint callback checkpoint callback                 to reproduce    steps to reproduce the behavior     clone the repo    git clone   ai git  git checkout      run ,09167efdb59e1be8ffe9ff7010393bff084390be,pl_examples\multi_node_examples\multi_node_ddp_demo.py
1290,bug(logger): wandb fails on sweep,  🐛 bug    when using wandb sweeps for hyperparameters search  i get this error     wandb  error attempted to change value of key  dropout std  from     to        the reason is i ran   wandb logger log hyperparams   which i guess has some problem with floating point numbers in high accuracy    ,f3d139e90f9212813c4f5e6de777bdef9dfe7635,CHANGELOG.md
1306,RuntimeError: Unimplemented backend XLA on TPU,  🐛 bug     raised for  line in  file when running mnist on tpu  i think it was introduced in       to reproduce    steps to reproduce the behavior     go to mnist on tpus  run all  scroll down to trainer  see error    traceback       file   usr local lib     dist packages torch xla distributed xla multiprocessing py   line    in  start fn      fn     file   usr local lib     dist packages torch xla distributed xla multiprocessing py   line    in  start fn      fn     file   usr local lib     dist packages pytorch lightning trainer distrib parts py   line    in tpu train      self run pretrain routine     file   usr local lib     dist packages pytorch lightning trainer distrib parts py   line    in tpu train      self run pretrain routine     file   usr local lib     dist packages pytorch lightning trainer distrib parts py   line    in tpu train      self run pretrain routine     file   usr local lib     dist packages torch xla distributed xla multiprocessing py   line    in  start fn ,b8ff9bc1d242a18f5e7147f34d63f43fcdd0e50a,CHANGELOG.md
1322,Training loop temporarily hangs after every 4 steps,  i am porting some of my code to pytorch lightning  and everything seems to work fine  however  for some reason after every   training steps i see some temporary hanging    which is severely slowing down my overall training time  am i missing some obvious configuration   this is my trainer configuration       trainer   pl trainer           gpus            num nodes             distributed backend  ddp            checkpoint callback false           max epochs             max steps none           progress bar refresh rate             check val every n epoch             val check interval               gradient clip val               log save interval             num sanity val steps             amp level                   ,b18accc64ccd24095c11fdbd64cc924456134592,CHANGELOG.md
1335,Trainer DDP should invoke load_spawn_weights() only in proc_rank == 0,  🐛 bug    trainer ddp load spawn weights should happen only in proc rank      since only in this process   save spawn weights actually saves checkpoint  to reproduce    steps to reproduce the behavior     setup two node cluster   set slurm nodeid on each node      on node   and     on node     run the script python app py on each node   see stdout on the node       traceback       file  app py   line    in       main      pylint  disable no value for parameter    file  app py   line    in main       trainer fit     file   home ubuntu   envs nightly pt lib     site packages pytorch lightning trainer trainer py   line    in fit      self load spawn weights     file   home ubuntu   envs nightly pt lib     site packages pytorch lightning trainer distrib data parallel py   line    in load spawn weights      loaded model   original model   class   load from checkpoint     file   home ubuntu   envs nightly pt lib     site packages pytorch lightning core lightning py   line    in load from ch,9754c5da55059dd89cf0a4fd582fe5df9449bbe5,pytorch_lightning\trainer\distrib_data_parallel.py
1366,ModelCheckpoint tries to remove already removed checkpoint in DDP mode,  🐛 bug    when training in ddp mode with modelcheckpoint callback  the train process fails  when modelcheckpoint callback tries to remove previous checkpoint  i assume that it was already deleted by another process   to reproduce    steps to reproduce the behavior   run training with  ddp  backend and modelcheckpoint callback with save top k  some number     file   home myuser   lib     site packages torch multiprocessing spawn py   line    in  wrap                                                                                                       fn                                                                                     file   home myuser   lib     site packages pytorch lightning trainer distrib data parallel py   line    in ddp train      self run pretrain routine                                                                                                             file   home myuser   lib     site packages pytorch lightning trainer trainer py   line    in run pre,58a467dd68b157fdba8824a437dbaf698ad88569,CHANGELOG.md
1375,Tensorboard logger error: lightning_logs directory not exists in multi-node DDP on nodes with rank != 0,  🐛 bug    in multi node ddp train mode on all nodes except rank   errors appears at the start of the training caused by accessing lightning logs directory in tensorboard logger which is not exist at the moment   to reproduce    steps to reproduce the behavior     setup multi node cluster    set environment variables on each node     export master addr   export master port    export rank   export slurm nodeid   export world size         install dependencies     pip install torch torchvision hydra core pytorch lightning        copy app y and conf yaml to each node  run script on each node    python app py        see the error     exception        process   terminated with the following error   traceback       file   home ubuntu   envs nightly pt lib     site packages torch multiprocessing spawn py   line    in  wrap      fn     file   home ubuntu   envs nightly pt lib     site packages pytorch lightning trainer distrib data parallel py   line    in ddp train      self run pretrain routi,495ffbd028ae860528c719544cf0409b41d5ef5a,CHANGELOG.md
138,val_dataloader is not optional in distributed_backend='ddp',  describe the bug  val dataloader function is kept optional but a line in the code does not check for  if self val dataloader is not none   which leads to the following error   file   misc   fergusgroup ananya pyenv     lib     site packages pytorch lightning models trainer py   line    in get dataloaders  for dataloader in self val dataloader    typeerror   nonetype  object is not iterable  file  models trainer py  line    to reproduce  steps to reproduce the behavior       not write the optional function  val dataloader      use the following trainer configuration   trainer   trainer   experiment exp   checkpoint callback checkpoint callback   distributed backend  ddp    gpus args gpu id   amp level       use amp true   max nb epochs args epochs   progress bar true         expected behavior  code should ignore  all  for dataloader in self val dataloader   check if self val dataloader is none   environment     pytorch        cuda      test tube          pytorch lightning           ,5b694c7e0ec5f83bf4ec93860d91a48757351265,pytorch_lightning\models\trainer.py
1388,Use isinstance() instead of type() in trainer.distrib_parts.check_gpus_data_type,  🐛 bug    when instantiating a trainer object  it makes sense to be able to pass a subclass of list   ideally  this would be something even more general like collections abc sequence  but i m not too familiar with lightning s codebase and that change would have a greater likelihood of breaking things   to reproduce    instantiate a trainer with the gpus parameter being a subclass of list   code sample        from pytorch lightning import trainer      class mylist            pass            gpus   mylist       t   trainer   this produces  traceback       file     line    in     file   opt anaconda   envs ai lib     site packages pytorch lightning trainer trainer py   line    in   init        self data parallel device ids   parse gpu ids     file   opt anaconda   envs ai lib     site packages pytorch lightning trainer distrib parts py   line    in parse gpu ids      check gpus data type     file   opt anaconda   envs ai lib     site packages pytorch lightning trainer distrib parts py   ,a22a8142ac65668781a6e6f76d3c4e55ea7c249a,pytorch_lightning\trainer\distrib_parts.py
142,AttributeError: 'xxx' object has no attribute 'tng_dataloader' continued...,  this is the same issue as mentioned in        describe the bug  whenever a  property raises an attributeerror  it will be looked up in   getattr      and then the original error message is lost  and lightingmodule inherits   getattr   from torch nn module   this makes debugging difficult as you lose line number and you get an error message that is misleading   the attribute exists  look at the minimal example in the next section to see what i mean   to reproduce  import torch    class foo         property      def bar            return torch does not exist    raises an attributeerror     foo  bar      the output produced   traceback       file  c  minimal py   line    in       foo  bar    file  c  program files   lib site packages torch nn modules module py   line    in   getattr        type    name    name    attributeerror   foo  object has no attribute  bar       the trace says the  attribute does not exist  but it does  it is the  attribute that is nonexistent  now if you look in,b31539f62e60e1ad370214e05003c214298d2431,pytorch_lightning\root_module\decorators.py
1421,run_training_batch breaks on None batch or -1 response from on_batch_start (in new 0.7.2 release),  🐛 bug    run training batch now is supposed to return a   tuple in        however  there are two places where it still returns a   tuple  which will cause the program to crash  saying  valueerror  not enough values to unpack        if batch is none       return    grad norm dic             if response             return     grad norm dic          vs  the standard return  return    grad norm dic  all log metrics  batch output  to reproduce    just return    from on batch start   ,b2707c9b2ebeac03f19a3939df9432ac8859d894,CHANGELOG.md
1422,Not auto add DistributedSampler for DDP training,  🐛 bug    in      even if we don t set sampler  pytorch lightning will not add  distributedsampler for us   to reproduce    the reason is in pytorch  if we don t set sampler   pytorch will add a sampler for us   in pytorch s dataloader py            if sampler is none     give default samplers              if self  dataset kind     datasetkind iterable                     see note   custom samplers and iterabledataset                    sampler    infiniteconstantsampler               else     map style                  if shuffle                       sampler   randomsampler                   else                       sampler   sequentialsampler       but in pytorch lightning we check whether sampler is none to  decide to add sampler  in  data loading py funciton auto add sampler           no sampler added   dataloader sampler is none      because pytorch have default sampler for us  which is not none  pytorch lighting will not automatically add sampler    ,21a1972921809ea04ab1e4c657e326dfecd5e352,pytorch_lightning\trainer\data_loading.py
1435,Test metrics is not being reported to TensorBoard since 0.7.2,  🐛 bug    to reproduce    steps to reproduce the behavior         code sample    please see the colab above   expected behavior    the test metrics should be reported   environment    the colab environment   cuda    gpu    available            false   version                   packages    numpy                        pytorch debug        false   pytorch version              pytorch lightning            tensorboard                  tqdm                        system    os                   linux   architecture             processor                python                       version                 smp wed feb         pst        additional context    regression from         ,1f685c2882d2bb0755a7ab0ed6819b008780948e,CHANGELOG.md
1442,Failed to configure_optimizers from dictionary without lr_scheduler field presented,  🐛 bug    optimizer is failed to be configured from the dictionary without lr sheduler field   consider an example of the module configure optimizers method           def configure optimizers                config                       optimizer   torch optim sgd   lr                                  return config  then  we run a simple trainer       trainer options   dict       trainer   trainer           trainer fit   and we fail with an error   unboundlocalerror  local variable  lr schedulers  referenced before assignment      i believe  that the reason is that lr schedulers local variable is not determined here         pytorch lightning pytorch lightning trainer optimizers py              lines   to          in                          single dictionary          elif isinstance            optimizer   optim conf  optimizer            lr scheduler   optim conf get           if lr scheduler           lr schedulers   self configure schedulers           return  optimizer   lr scheduler,4c34d16a349bc96a717be5674606c2577fab8946,CHANGELOG.md
1447,"Test results not logged to tensorboard, since 0.7.3, this worked in 0.7.1",  🐛 bug    test results are not logged to tensorboard  with the exact same code  version       logged them flawlessly  also  with the exact same code  validation and train results are logged  so i assumed the issue is with the test   to reproduce    run test  step with a model that has tensorboard logging   logger   tensorboardlogger   code sample    def validation step                   return   val loss   loss     def validation epoch end        avg loss   torch stack  mean       tensorboard logs     val loss   avg loss       return   avg val loss   avg loss   log   tensorboard logs   this works     def test step                              return   test loss   loss     def test epoch end        avg loss   torch stack  mean       tensorboard logs     mse   avg loss       print    avg loss      this works                                return   avg test loss   avg loss   log   tensorboard logs   the issue might be here      expected behavior    the expected behavior is for tensorboar,b3fe17ddeb00fb66db08e5fc7414591662ebd440,.github\workflows\ci-testing.yml
1468,Mixing hparams and arguments in LightningModule.__init__() crashes load_from_checkpoint(),  🐛 bug    right now  if you initialize a lightning module with a mixture of a namespace   as well as additional arguments    load from checkpoint can t recover   to reproduce    create a lightningmodule as follows   class model          def   init                    self hparams   hparams                self train dset  self val dset   train dataset  val dataset                     run training  then try to restore from checkpoint  via   nn   model restore from checkpoint   expected behavior    ideally  you d just be able to pass in the additional arguments   and everything would work    ,3c6f856f232ccd124ca90621cdda8094bae6e332,CHANGELOG.md
1476,Learning rate scheduler should step after each optimizer step,  🐛 bug    i m not sure that this is a bug or if it is a deliberate design decision  but right now the learning rate schedule gets updated at every  step  which actually corresponds to every forward pass  i think a more standard implementation would have the learning rate scheduler  step  interval correspond to being updated every backwards pass  this has caused me a lot of problems with instability as i did not realize that using standard learning rate warmups of say   steps would actually only warm up for   steps if i set accumulate grad batches      ,0203938af8f69a19b7e0264f18e03d543d86e0e9,CHANGELOG.md
1485,wandb logger 'global_step' affects other logger,  🐛 bug    the wandb logger adds a  global step  to the metric dict which appears in all other loggers    only the wandb logger is adding  global step  to metric and i think it is not necessary  another side effect of that is  that  global step  is also added to empty dicts which then are logged and resulting to strange graphs like this       or this      i also wrote a simple logger class to print out metrics  i got this output   step       global step       step       global step              step       global step       step       global step       step       val mse         train mse         global step       step       global step       step       global step              step       global step       step       global step       step       val mse         train mse         global step       step       global step       step       global step            step       global step       step       global step       step       val mse         train mse         global step                ,152a2eb30ce82deefdb738b81fda66a9c218ed76,CHANGELOG.md
1503,Do not configure python logging,  🐛 bug    pytorch lightning right now configures the python logging module  here     this is generally not recommended when writing a library as it makes it difficult for users to modify logging format  see python docs    stack overflow post     i would suggest deleting the configuration line    ,1df0d2dc97e20b9646cbe0f42060a57f99f397fc,pytorch_lightning\__init__.py
1506,0.7.3 breaks reusable dataloaders in DDP,  🐛 bug          breaks reusable dataloaders in ddp  traceback       file   opt conda lib     site packages torch multiprocessing spawn py   line    in  wrap      fn     file   opt conda lib     site packages pytorch lightning trainer distrib data parallel py   line    in ddp train      self run pretrain routine     file   opt conda lib     site packages pytorch lightning trainer trainer py   line    in run pretrain routine      self train     file   opt conda lib     site packages pytorch lightning trainer training loop py   line    in train      self reset train dataloader     file   opt conda lib     site packages pytorch lightning trainer data loading py   line    in reset train dataloader      self train dataloader   self auto add sampler     file   opt conda lib     site packages pytorch lightning trainer data loading py   line    in auto add sampler      dataloader   type      file     main dataset py   line    in   init        super    init     typeerror    init    got an unexp,c71bd73acb5a89bb2a8ff44beab37fd2ceba352b,CHANGELOG.md
1507,After update from 0.5.x to 0.7.3 merge_dicts #1278 sometimes breaks training,  🐛 bug    after i updated from a quite old lightning version to the newest one  i sometimes get a typeerror from merge dicts  i guess it s related to this mr        this type error is deterministic  meaning it always occurs at the same global step during training  it somehow seems to be related to val check interval as well  for some data changing this value leads to no error  but for other datasets this does not work  also this only happens during training step  i suspect the training step after validating   to reproduce    steps to reproduce the behavior   i have no idea   file   home sebastian  cache pypoetry virtualenvs forgerydetection       lib     site packages pytorch lightning trainer training loop py   line    in train      self run training epoch     file   home sebastian  cache pypoetry virtualenvs forgerydetection       lib     site packages pytorch lightning trainer training loop py   line    in run training epoch      self log metrics     file   home sebastian  cache py,edb8d7a23cac91d607ab97c0adcbb815780936ac,CHANGELOG.md
1510,Memory (CPU and GPU) leaks during the 1st epoch,  🐛 bug    hello   this memory leak occurs during the first epoch  if one has a large epoch time    the oom error will come  it s interesting  that in precision   mode  it leaks out on the gpu and the cpu both  if we switch amp optimization off    the leak goes only on the cpu   also  i checked the number of tensors  which are tracked by the garbage collector  and it appeared to be linearly increasing during the first epoch  and then    it falls to the initial value and begins increasing again   let me provide the plots       experiment    amp level      precision                          experiment    amp level none  precision none                        as you can see  both cases have a cpu leak  the  amp  case also has a gpu leak   also  it s clear  that such leaky behavior stops when the   epoch starts   on these plots  the   epoch starts on the    saw claw  of the  num of tensors  plot   also  there is another observation  the speed of tensors number increasing is    and this is m,ae2e14e3ed45e23dbe2868017b630fa7be9e5604,pl_examples\basic_examples\cpu_template.py
1520,"Bug and question about logging -- missing epoch, validation before train?",  🐛 bug    first  the clear bug  in trainerloggingmixin log metrics  the epoch is added to the metrics variable   which is never accessed again  that should be to scalar metrics  shouldn t it   second  a question  i implemented a very primitive logger   and logging to it  i don t get training results when the first epoch ends until after the first epoch validation step  and consequently don t get training metrics from the last epochs  see code and sample output below  does this make sense   to reproduce    add the following code to a lightning module and run a trainer with the following logger   use gpu   int    print logger   printlogger   trainer   trainer   trainer fit   code sample    minimal logging in the lightningmodule       def training epoch end            avg loss   torch stack  mean           avg acc   torch stack  mean           logs   dict           return dict         def validation epoch end            avg loss   torch stack  mean           avg acc   torch stack  mean  ,fe2b6666e0c3a47992860a2200ab40ae1c2ea6c7,pytorch_lightning\trainer\logging.py
1522,Performance drop when activating gradient clipping,  hello all   i experienced a substantial drop in computation time when activating gradient clipping     i noticed that in the current implementation of the clipping gradient method in pytorch lightning trainer training tricks py redundant computations are made by first computing the   norm and second squaring this result  which could be shortened by computing the sum of squares directly  this saves one square root and squaring operation per parameter set   best   jonas  environment    cuda    gpu    available            false   version              none  packages    numpy                        pytorch debug        false   pytorch version              pytorch lightning          dev   tensorboard                  tqdm                        system    os                   darwin   architecture             processor                python                       version              darwin kernel version        wed mar          pst    root xnu                additional context    i trained ,e02146943d3373020b7fa6e8acc31dc18b4201e4,pytorch_lightning\trainer\training_tricks.py
1538,`num_tpu_cores=8` does not work on kaggle,  🐛 bug    when i try to train a model on kaggle tpu s with num tpu cores set to    i receive an error exception  process   terminated with exit code     would be great if this worked on kaggle   to reproduce    steps to reproduce the behavior     run this notebook     on tpu with pytorch lightning                                                                                 exception                                 traceback     in             most basic trainer  uses good defaults            trainer   pl trainer           trainer fit      opt conda lib     site packages pytorch lightning trainer trainer py in fit                               train                    xmp spawn   nprocs self num tpu cores  start method start method                               load weights if not interrupted     opt conda lib     site packages torch xla distributed xla multiprocessing py in spawn                 join join                 daemon daemon                 start method start method      ,831842972f7e2d25ae3a376d5584748c3054f899,CHANGELOG.md
154,transfer_to_batch_gpu returns null when input has primitives,  describe the bug  when passing a batch such as   batch   list     the list of ints won t be returned correctly  additional context  fix should add a return of the item it no condition matches   ,55a804b7cfb9b2376ccaa1253a966dcaa9b6ab07,pytorch_lightning\models\trainer.py
1540,DDP on GPUs invalid ordinal,  🐛 bug    on latest version    training with ddp backend on gpus   results in a cuda error  invalid device ordinal    to reproduce    steps to reproduce the behavior     run any lightning module with ddp backend on more than   gpu with gpu indexes that do not start from    see error    info lightning gpu available  true  used  true  info lightning visible gpus       warning lightning slurm nodeid or node rank environment variable is not defined  set as     warning lightning master addr environment variable is not defined  set as localhost  warning lightning slurm nodeid or node rank environment variable is not defined  set as     warning lightning master addr environment variable is not defined  set as localhost  thcudacheck fail file  pytorch torch csrc cuda module cpp line   error     invalid device ordinal  thcudacheck fail file  pytorch torch csrc cuda module cpp line   error     invalid device ordinal  traceback       file  bin run py   line    in       run     file  bin run py  ,bafdeca42f746aac59b4f0c1103264d7bff556db,pytorch_lightning\trainer\distrib_data_parallel.py
1546,LightningTemplateModel is broken,  🐛 bug     has no implemented  method  see here    to reproduce    just try to run test evaluation on mnist example  expected behavoir    it should not crash   ,210cd657dd0f83069b8c6abc7402508f354668b3,CHANGELOG.md
1547,Metric aggragation is broken for LoggerCollection,  🐛 bug    after changes in      it is now not possible to log testing metrics after traning while using several loggers   to reproduce    say we want to run a minst example   and also want to add a change   log testing metrics after training  for that we define a callback  class testcallback        def on train end              note that it would crash if you don t pass the  pl module           trainer test       and pass it to trainer callbacks argument   we would also like to use several loggers to track all metrics  say mlflowlogger and tensorboardlogger  for this we create instances of these loggers and pass them into trainer in a list   expected behavior    testing metrics should be logged   but they don t as there s no final aggregation when our logger is a loggercollection  additional context    in my opinion  the logic in agg and log metrics  and  finalize agg metrics is hard to follow  so i d be happy if user could choose plain old log metrics which worked nicely    ,458d3e210e2da10482d97a996708731b8b0fabae,CHANGELOG.md
1566,Batch being moved to gpu repeatedly with multiple optimizers and single gpu training,  if you have multiple optimizers  then transfer batch to gpu winds up getting called once per opt idx  and the batch is copied each time via copy copy  in training forward  why copy the batch when there is only a single gpu  by removing the copy copy  my gan model moves from     s to     s  pretty significant speedup    ,41b6cbb3ca8a3a43e091d7f0de4d0184a8870d19,pytorch_lightning\trainer\training_loop.py
